,unacast_session_count
20673,335.0
22130,407.0
22975,647.0
29709,475.0
41773,315.0
23640,514.0
40451,514.0
2855,4000.0
28305,568.0
7773,313.0
21822,1105.0
47254,413.0
15558,387.0
24997,494.0
46893,1039.0
16855,309.0
6275,361.0
24628,355.0
634,1497.0
37206,321.0
10483,308.0
39178,359.0
9317,315.0
42232,625.0
35471,844.0
47503,310.0
15381,665.0
40895,442.0
5581,323.0
45993,335.0
44390,1936.0
17926,513.0
21132,795.0
9683,344.0
31712,672.0
49146,866.0
10898,431.0
5314,414.0
26987,620.0
46613,555.0
6441,998.0
4757,987.0
29643,467.0
22131,700.0
31098,435.0
46416,455.0
23771,1147.0
1022,418.0
15036,396.0
28704,518.0
9746,470.0
6837,367.0
7346,863.0
24915,324.0
43657,1037.0
37620,315.0
33045,1282.0
25898,330.0
28682,2783.0
46414,411.0
7433,3786.0
45499,3000.0
45488,453.0
47920,425.0
47330,370.0
10726,554.0
46479,2128.0
15061,2267.0
25611,335.0
969,1379.0
12357,467.0
45980,489.0
17917,419.0
46404,424.0
26046,373.0
12684,572.0
3423,525.0
48101,1105.0
34132,2272.0
34604,406.0
11656,307.0
32884,398.0
19171,309.0
29644,350.0
9180,398.0
2291,492.0
46288,514.0
42831,376.0
47234,560.0
6057,1804.0
1486,444.0
41631,484.0
20514,639.0
42625,333.0
20810,333.0
30598,397.0
39775,303.0
24221,1262.0
5275,498.0
22634,634.0
34625,464.0
26603,408.0
40886,334.0
14660,383.0
2946,1039.0
15068,699.0
2200,363.0
11918,343.0
30582,387.0
31267,513.0
1843,586.0
32524,319.0
31519,729.0
21948,434.0
12928,338.0
49893,705.0
10088,390.0
3518,374.0
35609,504.0
30757,922.0
5570,476.0
849,319.0
17395,444.0
12789,466.0
27208,809.0
47232,502.0
26580,931.0
8906,745.0
46273,499.0
5600,422.0
7760,475.0
13784,658.0
32166,537.0
36625,758.0
35901,395.0
2293,537.0
5737,305.0
33930,419.0
12161,646.0
45251,415.0
31559,771.0
14144,354.0
21689,644.0
22978,385.0
10295,326.0
43064,656.0
26985,366.0
14791,525.0
2007,761.0
44055,3007.0
19172,1102.0
37096,771.0
8609,697.0
46387,3002.0
21029,446.0
1027,411.0
1617,599.0
27742,341.0
10640,355.0
22429,416.0
1999,982.0
40534,328.0
27636,387.0
12175,617.0
27210,982.0
3461,387.0
27663,1080.0
34149,1056.0
49154,461.0
49089,1609.0
13558,331.0
40662,943.0
10259,323.0
38303,363.0
5620,349.0
28798,411.0
30852,2160.0
47942,316.0
9670,453.0
13164,408.0
28008,654.0
44803,301.0
23551,2262.0
15482,621.0
32927,467.0
31266,380.0
32274,377.0
23135,345.0
11917,345.0
31494,322.0
24363,330.0
37300,2402.0
24904,365.0
31469,396.0
46539,3038.0
21009,3032.0
13854,400.0
9568,305.0
2685,392.0
42045,326.0
1616,1558.0
31961,727.0
19538,432.0
38114,734.0
22959,330.0
13062,354.0
45124,422.0
36755,625.0
37528,492.0
5045,359.0
451,407.0
1147,404.0
25613,2301.0
49464,372.0
44718,348.0
42925,3052.0
25471,386.0
551,505.0
26578,1259.0
7243,2243.0
4554,310.0
37455,837.0
